beam_name,length,concrete_area,concrete_cover,steel_area,frp_area,insulation_thickness,insulation_depth,conc_strength,steel_strength,frp_strength,glass_transition,thermal_conductivity,specific_heat,total_load,load_ratio,fire_resistance
B1,3000,60000,25,402.1,0.0,0.0,0.0,47.6,591,0,0,0.0,0,61.2,44.8,90
B2,3000,60000,25,402.1,0.0,0.0,0.0,45.5,591,0,0,0.0,0,61.2,44.8,90
B3,3000,60000,25,402.1,120.0,25.0,0.0,44.4,591,2800,52,0.175,730800,81.2,38.4,76
B4,3000,60000,25,402.1,120.0,40.0,80.0,47.4,591,2800,52,0.175,730800,81.2,38.4,90
B5,3000,60000,25,402.1,120.0,25.0,80.0,45.1,591,2800,52,0.175,730800,81.2,38.4,92
B6,3000,60000,25,402.1,120.0,0.0,0.0,46.0,591,2800,52,0.175,730800,81.2,38.4,76
B7,3000,60000,25,402.1,120.0,25.0,0.0,47.6,591,2800,52,0.175,730800,81.2,38.4,90
B8,3000,60000,25,402.1,120.0,25.0,0.0,44.3,591,2800,52,0.125,735000,81.2,38.4,91
B9,6000,100000,20,402.1,66.8,40.0,500.0,23.0,375,4030,73,0.06,193550,121.0,52.2,84
B10,3700,103124,38,850.6,0.0,0.0,0.0,52.0,450,0,0,0.0,0,100.0,55.0,180
B11,3700,103124,38,850.6,460.0,25.0,100.0,52.0,450,986,82,0.116,245700,140.0,50.0,180
B12,1500,12000,10,56.55,0.0,0.0,0.0,25.6,542,0,0,0.0,0,10.2,58.0,69
B13,1500,12000,10,56.55,60.0,0.0,0.0,25.6,542,2742,55,0.0,0,16.3,47.0,60
B14,1500,12000,10,56.55,60.0,25.0,0.0,25.6,542,2742,55,0.058,326325,16.3,47.0,90
B15,1500,12000,10,56.55,60.0,25.0,0.0,25.6,542,2742,55,0.164,619440,16.3,47.0,89
B16,1500,12000,10,56.55,60.0,40.0,0.0,25.6,542,2742,55,0.058,326325,16.3,47.0,208
B17,1500,12000,10,56.55,60.0,40.0,0.0,25.6,542,2742,55,0.164,619440,16.3,47.0,181
B18,1260,12000,15,56.55,0.0,0.0,0.0,37.0,546,0,0,0.0,0,7.2,38.0,50
B19,1260,12000,15,56.55,28.0,0.0,0.0,37.0,546,2076,47,0.0,0,23.4,36.0,15
B20,1260,12000,15,56.55,28.0,0.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,31
B21,1260,12000,15,56.55,28.0,25.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,32
B22,1260,12000,15,56.55,28.0,25.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,50
B23,1260,12000,15,56.55,28.0,25.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,75
B24,1260,12000,15,56.55,28.0,50.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,80
B25,1260,12000,15,56.55,28.0,25.0,0.0,37.0,546,2076,85,0.09,366750,23.4,36.0,74
B26,1260,12000,15,56.55,28.0,0.0,0.0,37.0,546,2076,47,0.0,0,23.4,36.0,12
B27,1260,12000,15,56.55,28.0,25.0,0.0,37.0,546,2076,47,0.09,366750,23.4,36.0,61
B28,4700,90000,20,402.0,33.4,50.0,450.0,30.7,372,4030,73,0.12,500000,80.0,43.5,149
B29,4700,90000,20,402.0,33.4,20.0,200.0,30.7,372,4030,73,0.12,500000,80.0,43.5,117
B30,5200,100000,20,942.5,33.4,40.0,500.0,30.7,372,4030,73,0.061,185000,132.0,63.0,120
B31,5200,100000,20,942.5,33.4,1.5,500.0,30.7,372,4030,73,0.06,480000,132.0,63.0,123
B32,4400,100000,25,760.3,0.0,0.0,0.0,40.4,364,0,0,0.0,0,76.0,50.0,129
B33,4400,100000,25,760.3,41.75,10.0,80.0,40.4,364,3455,85,0.126,518000,102.0,50.0,199
B34,3000,45000,19,157.1,0.0,0.0,0.0,30.1,500,0,0,0.0,0,48.0,50.0,77
B35,3000,45000,19,157.1,60.0,20.0,300.0,30.1,500,2742,75,0.13,594000,48.0,30.0,100
B36,3000,45000,19,157.1,60.0,35.0,300.0,30.1,500,2742,75,0.13,594000,48.0,30.0,108
B37,3000,45000,19,157.1,60.0,50.0,300.0,30.1,500,2742,75,0.13,594000,48.0,30.0,127
B38,3000,45000,19,157.1,60.0,20.0,300.0,30.1,500,2742,75,0.67,1320000,48.0,30.0,92
B39,3000,45000,19,157.1,60.0,35.0,300.0,30.1,500,2742,75,0.67,1320000,48.0,30.0,114
B40,3000,45000,19,157.1,60.0,50.0,300.0,30.1,500,2742,75,0.67,1320000,48.0,30.0,104
B41,3000,45000,19,157.1,60.0,20.0,300.0,30.1,500,2742,75,0.058,427500,48.0,30.0,86
B42,3000,45000,19,157.1,60.0,35.0,300.0,30.1,500,2742,75,0.058,427500,48.0,30.0,128
B43,3000,45000,19,157.1,60.0,50.0,300.0,30.1,500,2742,75,0.058,427500,48.0,30.0,128
B44,3660,60800,19,339.3,76.5,19.0,152.0,48.0,500,1172,80,0.156,510000,21.0,56.0,180
B45,3660,60800,19,339.3,76.5,25.0,152.0,48.0,500,1172,80,0.156,510000,26.0,66.0,180
B50,3660,125730,38,603.2,173.4,0.0,0.0,42.0,440,1034,82,0.0,510000,98.0,51.0,180
B46,3660,125730,38,603.2,173.4,25.0,75.0,42.0,440,1034,82,0.156,510000,98.0,51.0,180
B47,3660,125730,38,603.2,173.4,19.0,112.0,42.0,440,1034,82,0.156,510000,116.0,61.0,176
B48,3660,125730,38,603.2,102.0,32.0,152.0,46.0,460,1172,82,0.156,510000,97.0,51.0,240
